"machine_id";"serial_number";"model";"capability";"no_of_modules";"software_version";"workstation";"ownership";"type_of_purchase"
1071;846040;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1072;846041;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1073;846042;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1074;846044;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1075;846045;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1076;846354;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1077;846355;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1078;846356;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1079;847222;"GXIV-4D";"6C";4;0.0;"Desktop";"";"PBSP"
1080;847223;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1081;847226;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1082;847227;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1083;847249;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1084;847250;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1085;847251;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1086;847252;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1087;847253;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1088;847254;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1089;847255;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1090;847256;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1091;847257;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1092;847258;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1093;847303;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1094;847304;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1095;847328;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1096;847329;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1097;847333;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1098;847334;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1099;847338;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1100;847343;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1101;847345;"GXIV-4D";"6C";4;0.0;"Desktop";"";"WHO"
1102;847578;"GXIV-4D";"6C";4;0.0;"Desktop";"";"CONSORTIUM"
1103;847724;"GXIV-4D";"6C";4;0.0;"Desktop";"";"MACARE-HBDC"
1104;847725;"GXIV-4D";"6C";4;0.0;"Desktop";"";"MACARE-HBDC"
1105;847726;"GXIV-4D";"6C";4;0.0;"Desktop";"";"MACARE-HBDC"
1106;847727;"GXIV-4D";"6C";4;0.0;"Desktop";"";"MACARE-HBDC"
1107;847728;"GXIV-4D";"6C";4;0.0;"Desktop";"";"MACARE-HBDC"
1108;848241;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"WHO"
1109;848244;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"WHO"
1110;848248;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"WHO"
1111;848249;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"WHO"
1112;848250;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"WHO"
1113;848262;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"";"MACARE-HBDC"
1114;110000711;"GXIV-4D";"6C";4;0.0;"Desktop";"";"CONSORTIUM"
1115;110001647;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"Purchase";"COMMERCIAL"
1116;110001648;"GXIV-4-D-10C";"10C";4;0.0;"Desktop";"Purchase";"COMMERCIAL"
